,datetime,cloudliness
519,2020-02-20,1.0
520,2020-02-22,1.0
521,2020-02-25,0.996
522,2020-02-27,1.0
523,2020-03-01,0.997
524,2020-03-03,0.466
525,2020-03-06,1.0
526,2020-03-08,1.0
527,2020-03-11,1.0
528,2020-03-13,1.0
529,2020-03-16,0.785
530,2020-03-18,1.0
531,2020-03-21,0.034
532,2020-03-23,0.0
533,2020-03-26,0.0
534,2020-03-28,0.0
535,2020-03-31,0.0
536,2020-04-02,1.0
537,2020-04-05,0.0
538,2020-04-07,0.0
539,2020-04-10,0.0
540,2020-04-12,0.0
541,2020-04-15,0.0
542,2020-04-17,0.0
543,2020-04-20,0.0
544,2020-04-22,0.0
545,2020-04-25,0.849
546,2020-04-27,0.0
547,2020-04-30,0.977
548,2020-05-02,1.0
549,2020-05-05,0.542
550,2020-05-07,0.0
551,2020-05-10,1.0
552,2020-05-12,1.0
553,2020-05-15,0.908
554,2020-05-17,1.0
555,2020-05-20,0.845
556,2020-05-22,1.0
557,2020-05-25,0.888
558,2020-05-27,0.025
559,2020-05-30,0.421
560,2020-06-01,0.0
561,2020-06-04,1.0
562,2020-06-06,1.0
563,2020-06-09,1.0
564,2020-06-11,1.0
565,2020-06-14,1.0
566,2020-06-16,1.0
567,2020-06-19,1.0
568,2020-06-21,0.775
569,2020-06-24,0.0
570,2020-06-26,0.0
571,2020-06-29,1.0
572,2020-07-01,1.0
573,2020-07-04,1.0
574,2020-07-06,0.993
575,2020-07-09,1.0
576,2020-07-11,1.0
577,2020-07-14,1.0
578,2020-07-16,1.0
579,2020-07-19,0.916
580,2020-07-21,0.997
581,2020-07-24,1.0
582,2020-07-26,0.671
583,2020-07-29,0.996
584,2020-07-31,0.0
585,2020-08-03,1.0
586,2020-08-05,0.0
587,2020-08-08,0.0
588,2020-08-10,1.0
589,2020-08-13,1.0
590,2020-08-15,1.0
591,2020-08-18,0.679
592,2020-08-20,1.0
593,2020-08-23,1.0
594,2020-08-25,1.0
595,2020-08-28,0.999
596,2020-08-30,1.0
597,2020-09-02,0.015
598,2020-09-04,0.998
599,2020-09-07,1.0
600,2020-09-09,1.0
601,2020-09-12,1.0
602,2020-09-14,0.0
603,2020-09-17,0.0
604,2020-09-19,0.0
605,2020-09-22,0.0
606,2020-09-24,0.001
607,2020-09-27,1.0
608,2020-09-29,1.0
609,2020-10-02,1.0
610,2020-10-04,1.0
611,2020-10-07,1.0
612,2020-10-09,1.0
613,2020-10-12,0.998
614,2020-10-14,1.0
615,2020-10-17,1.0
616,2020-10-19,1.0
617,2020-10-24,1.0
618,2020-10-27,1.0
619,2020-10-29,1.0
620,2020-11-01,1.0
621,2020-11-03,0.0
622,2020-11-06,0.14
623,2020-11-08,1.0
624,2020-11-11,1.0
625,2020-11-13,1.0
626,2020-11-16,1.0
627,2020-11-18,0.0
628,2020-11-21,1.0
629,2020-11-23,0.0
630,2020-11-26,1.0
631,2020-11-28,1.0
632,2020-12-01,1.0
633,2020-12-03,1.0
634,2020-12-06,1.0
635,2020-12-08,1.0
636,2020-12-11,1.0
637,2020-12-13,1.0
638,2020-12-16,0.726
639,2020-12-18,0.345
640,2020-12-21,1.0
641,2020-12-23,1.0
642,2020-12-26,1.0
643,2020-12-28,0.021
644,2020-12-31,1.0
645,2021-01-02,1.0
646,2021-01-05,1.0
647,2021-01-07,1.0
648,2021-01-10,0.798
649,2021-01-12,1.0
650,2021-01-15,1.0
651,2021-01-17,1.0
652,2021-01-20,1.0
653,2021-01-22,0.176
654,2021-01-25,0.001
655,2021-01-27,1.0
656,2021-01-30,1.0
657,2021-02-01,1.0
658,2021-02-04,1.0
659,2021-02-06,1.0
660,2021-02-09,0.952
661,2021-02-11,0.003
662,2021-02-14,0.995
663,2021-02-16,0.0
664,2021-02-19,0.006
665,2021-02-21,1.0
666,2021-02-24,1.0
667,2021-02-26,0.045
668,2021-03-01,1.0
669,2021-03-03,1.0
670,2021-03-06,0.933
671,2021-03-08,1.0
672,2021-03-11,1.0
673,2021-03-13,1.0
674,2021-03-16,1.0
675,2021-03-18,1.0
676,2021-03-21,1.0
677,2021-03-23,1.0
678,2021-03-26,0.932
679,2021-03-28,1.0
680,2021-03-31,0.0
681,2021-04-02,1.0
682,2021-04-05,0.752
683,2021-04-07,1.0
684,2021-04-10,1.0
685,2021-04-12,1.0
686,2021-04-15,1.0
687,2021-04-17,0.473
688,2021-04-20,0.522
689,2021-04-22,0.493
690,2021-04-25,0.913
691,2021-04-27,0.0
692,2021-04-30,1.0
693,2021-05-02,1.0
694,2021-05-05,1.0
695,2021-05-07,0.971
696,2021-05-12,0.977
697,2021-05-15,1.0
698,2021-05-17,1.0
699,2021-05-20,0.982
700,2021-05-22,1.0
701,2021-05-25,1.0
702,2021-05-27,1.0
703,2021-05-30,0.0
704,2021-06-01,0.0
705,2021-06-04,0.709
706,2021-06-06,1.0
707,2021-06-09,0.942
708,2021-06-11,0.709
709,2021-06-14,0.0
710,2021-06-16,0.243
711,2021-06-19,1.0
712,2021-06-21,1.0
713,2021-06-24,1.0
714,2021-06-26,0.931
715,2021-06-29,1.0
716,2021-07-01,1.0
717,2021-07-04,1.0
718,2021-07-06,1.0
719,2021-07-09,0.998
720,2021-07-11,1.0
721,2021-07-14,1.0
722,2021-07-16,1.0
723,2021-07-19,1.0
724,2021-07-21,0.002
725,2021-07-24,1.0
726,2021-07-26,1.0
727,2021-07-29,1.0
728,2021-07-31,1.0
729,2021-08-03,1.0
730,2021-08-05,0.76
731,2021-08-08,1.0
732,2021-08-10,1.0
733,2021-08-13,1.0
734,2021-08-15,1.0
735,2021-08-18,1.0
736,2021-08-20,1.0
737,2021-08-23,0.982
738,2021-08-25,0.25
739,2021-08-28,1.0
740,2021-08-30,1.0
741,2021-09-02,1.0
742,2021-09-04,0.876
743,2021-09-07,0.049
744,2021-09-09,0.993
745,2021-09-12,1.0
746,2021-09-14,1.0
747,2021-09-17,0.959
748,2021-09-19,0.391
749,2021-09-22,0.0
750,2021-09-24,0.935
751,2021-09-27,1.0
752,2021-09-29,1.0
753,2021-10-02,1.0
754,2021-10-04,0.25
755,2021-10-07,1.0
756,2021-10-09,0.014
757,2021-10-12,1.0
758,2021-10-14,0.993
759,2021-10-17,1.0
760,2021-10-19,1.0
761,2021-10-22,1.0
762,2021-10-24,0.0
763,2021-10-27,0.995
764,2021-10-29,1.0
765,2021-11-01,0.713
766,2021-11-03,1.0
767,2021-11-06,1.0
768,2021-11-11,1.0
769,2021-11-13,1.0
770,2021-11-16,1.0
771,2021-11-18,0.0
772,2021-11-21,0.62
773,2021-11-23,0.995
774,2021-11-26,1.0
775,2021-11-28,1.0
776,2021-12-01,1.0
777,2021-12-03,1.0
778,2021-12-06,1.0
779,2021-12-08,0.769
780,2021-12-11,1.0
781,2021-12-16,0.682
782,2021-12-18,1.0
783,2021-12-21,0.001
784,2021-12-23,1.0
785,2021-12-26,1.0
786,2021-12-28,1.0
787,2021-12-31,1.0
788,2022-01-02,1.0
789,2022-01-05,1.0
790,2022-01-07,1.0
791,2022-01-10,1.0
792,2022-01-12,1.0
793,2022-01-15,1.0
794,2022-01-17,1.0
795,2022-01-20,1.0
796,2022-01-20,1.0
797,2022-01-22,1.0
798,2022-01-25,1.0
799,2022-01-27,1.0
800,2022-01-30,1.0
801,2022-02-01,1.0
802,2022-02-04,1.0
803,2022-02-06,1.0
804,2022-02-09,1.0
805,2022-02-11,1.0
806,2022-02-14,1.0
807,2022-02-16,1.0
808,2022-02-19,0.988
809,2022-02-21,1.0
810,2022-02-24,0.003
811,2022-02-26,0.522
812,2022-03-01,1.0
813,2022-03-03,0.0
814,2022-03-06,0.0
815,2022-03-08,0.0
816,2022-03-11,0.0
817,2022-03-13,1.0
818,2022-03-16,0.0
819,2022-03-18,0.0
820,2022-03-21,0.0
821,2022-03-23,0.0
822,2022-03-26,0.0
823,2022-03-28,0.0
824,2022-03-31,1.0
825,2022-04-02,0.985
826,2022-04-05,1.0
827,2022-04-10,1.0
828,2022-04-12,1.0
829,2022-04-15,1.0
830,2022-04-17,0.0
831,2022-04-20,0.0
832,2022-04-22,0.787
833,2022-04-25,1.0
834,2022-04-27,0.631
835,2022-04-30,1.0
836,2022-05-02,0.185
837,2022-05-05,1.0
838,2022-05-07,0.987
839,2022-05-10,1.0
840,2022-05-12,1.0
841,2022-05-15,0.001
842,2022-05-17,1.0
843,2022-05-20,1.0
844,2022-05-22,0.983
845,2022-05-25,1.0
846,2022-05-27,0.584
847,2022-05-30,1.0
848,2022-06-01,1.0
849,2022-06-04,1.0
850,2022-06-06,0.624
